statename,districtname,crop,cropyear,season,area,production,statenorm,districtnorm,yieldcalc,lat,lon,Rainfall_sum_x,Tavg_mean_x,Tmax_mean_x,Tmin_mean_x,ET0_sum_x,GDD_sum_x,Rainfall_sum_y,Tavg_mean_y,Tmax_mean_y,Tmin_mean_y,ET0_sum_y,GDD_sum_y
Andaman and Nicobar Islands,SOUTH ANDAMANS,Moong(Green Gram),2010,Rabi,29.9,17.85,andaman and nicobar islands,south andamans,0.596989966555184,,,,,,,,,,,,,,
Andaman and Nicobar Islands,SOUTH ANDAMANS,Sunflower,2010,Rabi,1.0,0.5,andaman and nicobar islands,south andamans,0.5,,,,,,,,,,,,,,
Andaman and Nicobar Islands,SOUTH ANDAMANS,Sweet potato,2010,Rabi,32.0,235.0,andaman and nicobar islands,south andamans,7.34375,,,,,,,,,,,,,,
Andaman and Nicobar Islands,SOUTH ANDAMANS,Turmeric,2010,Rabi,10.0,105.0,andaman and nicobar islands,south andamans,10.5,,,,,,,,,,,,,,
Andaman and Nicobar Islands,SOUTH ANDAMANS,Urad,2010,Rabi,34.0,15.05,andaman and nicobar islands,south andamans,0.44264705882352945,,,,,,,,,,,,,,
Andaman and Nicobar Islands,SOUTH ANDAMANS,Banana,2010,Whole Year,360.0,5517.0,andaman and nicobar islands,south andamans,15.325,,,,,,,,,,,,,,
Andaman and Nicobar Islands,SOUTH ANDAMANS,Coconut,2010,Whole Year,3540.0,11000000.0,andaman and nicobar islands,south andamans,3107.3446327683614,,,,,,,,,,,,,,
Andaman and Nicobar Islands,SOUTH ANDAMANS,Tapioca,2010,Whole Year,22.5,220.0,andaman and nicobar islands,south andamans,9.777777777777779,,,,,,,,,,,,,,
Andhra Pradesh,ANANTAPUR,Arhar/Tur,2010,Kharif,66013.0,11156.0,andhra pradesh,anantapur,0.16899701573932407,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
Andhra Pradesh,ANANTAPUR,Bajra,2010,Kharif,2010.0,1465.0,andhra pradesh,anantapur,0.7288557213930348,14.72422,77.4306738,,,,,,,0.0,26.900356164383563,33.06117808219177,21.69630136986301,549.9387611569957,6343.240000000002
