yieldcalc,production,area
0.22866344,142.0,621.0
0.5580055,38922.0,69752.0
1.3023256,56.0,43.0
30.04896,151597.0,5045.0
0.24074075,39.0,162.0
0.68,17.0,25.0
85.27533,77430.0,908.0
1.25,30.0,24.0
12.785714,179.0,14.0
2.606657,10729.0,4116.0
6.4709034,35027.0,5413.0
0.28802064,5691.0,19759.0
2.5010452,7178.0,2870.0
0.8762089,906.0,1034.0
2.3997414,40822.0,17011.0
2.7768924,2091.0,753.0
0.6080015,87126.0,143299.0
0.48514852,49.0,101.0
1.4520434,1741.0,1199.0
5.1220655,2182.0,426.0
0.31747574,327.0,1030.0
7.5719905,19248.0,2542.0
0.37333333,28.0,75.0
1.5,9.0,6.0
1.511988,80657.0,53345.0
0.1724138,5.0,29.0
0.9302326,80.0,86.0
1.7042253,242.0,142.0
0.42195767,319.0,756.0
0.3043478,7.0,23.0
2.500966,5177.0,2070.0
2.0,16.0,8.0
1.1049944,76817.0,69518.0
2.9920213,51750.0,17296.0
0.30960265,187.0,604.0
1.5158901,6344.0,4185.0
0.2318339,67.0,289.0
9.116515,8998.0,987.0
0.35205182,163.0,463.0
22.092913,14029.0,635.0
0.33333334,2.0,6.0
1.4963504,205.0,137.0
2.869989,48896.0,17037.0
0.677686,82.0,121.0
0.35199025,2025.0,5753.0
0.9297297,172.0,185.0
0.5339598,4489.0,8407.0
1.3,26.0,20.0
56.12302,488607.0,8706.0
0.16666667,1.0,6.0
0.6950518,5436.0,7821.0
2.1,21.0,10.0
11.0,11.0,1.0
90.31497,75413.0,835.0
0.23932455,17716.0,74025.0
12.805555,922.0,72.0
1.5207101,257.0,169.0
7.872055,43438.0,5518.0
0.4508973,1809.0,4012.0
2.2647076,117681.0,51963.0
3.2909868,30853.0,9375.0
2.804842,5677.0,2024.0
4.5230956,11163.0,2468.0
0.38396677,3142.0,8183.0
20.0,40.0,2.0
2.7769463,722978.0,260350.0
0.16908212,70.0,414.0
0.26980633,613.0,2272.0
0.4528302,72.0,159.0
4.1272016,6327.0,1533.0
1.6633906,1354.0,814.0
1.3731989,2859.0,2082.0
0.41293532,83.0,201.0
3.9041095,285.0,73.0
0.2,1.0,5.0
8.53403,142945.0,16750.0
0.5712042,1091.0,1910.0
13.0625,209.0,16.0
2.422998,1180.0,487.0
3.8709984,367710.0,94991.0
0.22807017,65.0,285.0
0.6239992,79807.0,127896.0
0.44444445,4.0,9.0
23.103754,33847.0,1465.0
0.24117647,41.0,170.0
9.325582,401.0,43.0
9.325582,401.0,43.0
94.63058,1527716.0,16144.0
1.2368422,94.0,76.0
13.0,13.0,1.0
2.475,12771.0,5160.0
8.566038,17252.0,2014.0
0.42699584,29075.0,68092.0
1.486032,10692.0,7195.0
0.87699527,62414.0,71168.0
2.0623853,111375.0,54003.0
2.892006,31546.0,10908.0
0.5970004,91633.0,153489.0
3.25209,5057.0,1555.0
5.380998,78498.0,14588.0
8.950783,4001.0,447.0
0.31707317,2119.0,6683.0
22.097975,360197.0,16300.0
2.799683,291475.0,104110.0
0.16666667,11.0,66.0
0.9289601,9049.0,9741.0
1.7,221.0,130.0
0.42195752,3436.0,8143.0
0.42719847,889.0,2081.0
1.4855769,618.0,416.0
2.0424528,1299.0,636.0
1.2189999,265102.0,217475.0
2.332992,59265.0,25403.0
0.5626943,543.0,965.0
1.8190053,98410.0,54101.0
9.116916,50608.0,5551.0
0.35081968,535.0,1525.0
27.92004,84151.0,3014.0
1.4,7.0,5.0
2.5630474,12582.0,4909.0
3.203992,105626.0,32967.0
0.9540508,789.0,827.0
0.3512195,216.0,615.0
0.9292683,381.0,410.0
0.5339864,7141.0,13373.0
1.4351687,808.0,563.0
27.225965,54942.0,2018.0
0.67696095,2477.0,3659.0
11.214286,157.0,14.0
97.18757,168912.0,1738.0
0.8102873,63375.0,78213.0
12.833333,77.0,6.0
1.7630343,21405.0,12141.0
7.8717413,15098.0,1918.0
0.3429994,30174.0,87971.0
2.1629846,40729.0,18830.0
0.4738978,2569.0,5421.0
2.2376657,115063.0,51421.0
3.1900039,40210.0,12605.0
0.16316232,388.0,2378.0
1.4435484,179.0,124.0
5.6153846,1460.0,260.0
0.26099107,7005.0,26840.0
19.858086,6017.0,303.0
2.9317894,143300.0,48878.0
0.11399684,4183.0,36694.0
1.7372549,443.0,255.0
2.0,4.0,2.0
0.42219388,993.0,2352.0
2.1626263,2141.0,990.0
5.750891,24194.0,4207.0
1.6849965,123549.0,73323.0
2.478953,14487.0,5844.0
0.41361257,79.0,191.0
1.630029,6199.0,3803.0
8.374056,73139.0,8734.0
0.6370272,960.0,1507.0
13.05,783.0,60.0
1.4330856,1542.0,1076.0
2.4258065,376.0,155.0
3.4860013,376150.0,107903.0
0.22788697,742.0,3256.0
1.0613773,709.0,668.0
0.37700644,6365.0,16883.0
25.49315,7444.0,292.0
0.23958333,253.0,1056.0
0.67734283,571.0,843.0
82.0,27142.0,331.0
1.2360158,22870.0,18503.0
14.0,1918.0,137.0
1.5690467,127518.0,81271.0
6.105263,3248.0,532.0
0.5061093,1574.0,3110.0
2.3767743,3684.0,1550.0
1.7829194,14718.0,8255.0
3.2857144,23.0,7.0
2.1669521,12655.0,5840.0
2.981132,158.0,53.0
0.24882384,476.0,1913.0
19.860262,4548.0,229.0
1.0,23.0,23.0
3.270004,228485.0,69873.0
0.41401505,4567.0,11031.0
0.42186,880.0,2086.0
0.5068871,184.0,363.0
2.368421,135.0,57.0
3.7251687,3863.0,1037.0
1.3860387,13184.0,9512.0
2.4929006,11061.0,4437.0
0.4117647,7.0,17.0
3.875,62.0,16.0
9.116371,4622.0,507.0
0.44893667,1921.0,4279.0
1.4558823,99.0,68.0
3.8659983,777027.0,200990.0
0.22737306,103.0,453.0
