statename,districtname,crop,cropyear,season,statenorm,districtnorm
Andhra Pradesh,ANANTAPUR,Cotton(lint),2010,Kharif,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Dry chillies,2010,Kharif,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Groundnut,2010,Kharif,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Horse-gram,2010,Kharif,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Jowar,2010,Kharif,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Maize,2010,Kharif,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Mesta,2010,Kharif,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Moong(Green Gram),2010,Kharif,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Onion,2010,Kharif,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Ragi,2010,Kharif,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Rice,2010,Kharif,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Small millets,2010,Kharif,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Soyabean,2010,Kharif,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Urad,2010,Kharif,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Bajra,2010,Rabi,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Gram,2010,Rabi,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Groundnut,2010,Rabi,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Horse-gram,2010,Rabi,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Jowar,2010,Rabi,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Maize,2010,Rabi,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Moong(Green Gram),2010,Rabi,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Onion,2010,Rabi,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Ragi,2010,Rabi,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Rice,2010,Rabi,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Safflower,2010,Rabi,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Urad,2010,Rabi,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Wheat,2010,Rabi,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Arecanut,2010,Whole Year,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Banana,2010,Whole Year,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Coriander,2010,Whole Year,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Potato,2010,Whole Year,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Sugarcane,2010,Whole Year,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Sunflower,2010,Whole Year,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Sweet potato,2010,Whole Year,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Tobacco,2010,Whole Year,andhra pradesh,anantapur
Andhra Pradesh,ANANTAPUR,Turmeric,2010,Whole Year,andhra pradesh,anantapur
Andhra Pradesh,CHITTOOR,Arhar/Tur,2010,Kharif,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Bajra,2010,Kharif,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Castor seed,2010,Kharif,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Cotton(lint),2010,Kharif,andhra pradesh,chittoor
Andhra Pradesh,CHITTOOR,Groundnut,2010,Kharif,andhra pradesh,chittoor
