statename,districtname,crop,cropyear,season,area,production,statenorm,districtnorm,yieldcalc
Andhra Pradesh,SPSR NELLORE,Groundnut,2010,Rabi,4437.0,11061.0,andhra pradesh,spsr nellore,2.4929006085192698
Andhra Pradesh,SPSR NELLORE,Horse-gram,2010,Rabi,17.0,7.0,andhra pradesh,spsr nellore,0.4117647058823529
Andhra Pradesh,SPSR NELLORE,Jowar,2010,Rabi,16.0,62.0,andhra pradesh,spsr nellore,3.875
Andhra Pradesh,SPSR NELLORE,Maize,2010,Rabi,507.0,4622.0,andhra pradesh,spsr nellore,9.116370808678502
Andhra Pradesh,SPSR NELLORE,Moong(Green Gram),2010,Rabi,4279.0,1921.0,andhra pradesh,spsr nellore,0.44893666744566485
Andhra Pradesh,SPSR NELLORE,Ragi,2010,Rabi,68.0,99.0,andhra pradesh,spsr nellore,1.4558823529411764
Andhra Pradesh,SPSR NELLORE,Rice,2010,Rabi,200990.0,777027.0,andhra pradesh,spsr nellore,3.865998308373551
Andhra Pradesh,SPSR NELLORE,Sesamum,2010,Rabi,453.0,103.0,andhra pradesh,spsr nellore,0.22737306843267108
Andhra Pradesh,SPSR NELLORE,Urad,2010,Rabi,34902.0,15322.0,andhra pradesh,spsr nellore,0.43900063033637043
Andhra Pradesh,SPSR NELLORE,Banana,2010,Whole Year,1278.0,32579.0,andhra pradesh,spsr nellore,25.492175273865413
Andhra Pradesh,SPSR NELLORE,Cashewnut,2010,Whole Year,491.0,118.0,andhra pradesh,spsr nellore,0.24032586558044808
Andhra Pradesh,SPSR NELLORE,Sugarcane,2010,Whole Year,7172.0,658905.0,andhra pradesh,spsr nellore,91.8718627997769
Andhra Pradesh,SPSR NELLORE,Sunflower,2010,Whole Year,2704.0,2460.0,andhra pradesh,spsr nellore,0.9097633136094675
Andhra Pradesh,SPSR NELLORE,Sweet potato,2010,Whole Year,40.0,512.0,andhra pradesh,spsr nellore,12.8
Andhra Pradesh,SPSR NELLORE,Tapioca,2010,Whole Year,4.0,26.0,andhra pradesh,spsr nellore,6.5
Andhra Pradesh,SPSR NELLORE,Tobacco,2010,Whole Year,10863.0,18369.0,andhra pradesh,spsr nellore,1.6909693454846728
Andhra Pradesh,SPSR NELLORE,Turmeric,2010,Whole Year,153.0,934.0,andhra pradesh,spsr nellore,6.104575163398692
Andhra Pradesh,SRIKAKULAM,Arhar/Tur,2010,Kharif,1645.0,832.0,andhra pradesh,srikakulam,0.505775075987842
Andhra Pradesh,SRIKAKULAM,Bajra,2010,Kharif,1184.0,2723.0,andhra pradesh,srikakulam,2.299831081081081
Andhra Pradesh,SRIKAKULAM,Cotton(lint),2010,Kharif,2968.0,6739.0,andhra pradesh,srikakulam,2.2705525606469004
Andhra Pradesh,SRIKAKULAM,Dry chillies,2010,Kharif,64.0,212.0,andhra pradesh,srikakulam,3.3125
Andhra Pradesh,SRIKAKULAM,Groundnut,2010,Kharif,19092.0,22338.0,andhra pradesh,srikakulam,1.1700188560653677
Andhra Pradesh,SRIKAKULAM,Jowar,2010,Kharif,135.0,195.0,andhra pradesh,srikakulam,1.4444444444444444
Andhra Pradesh,SRIKAKULAM,Maize,2010,Kharif,2824.0,8421.0,andhra pradesh,srikakulam,2.981940509915014
Andhra Pradesh,SRIKAKULAM,Mesta,2010,Kharif,5579.0,45314.0,andhra pradesh,srikakulam,8.12224412977236
Andhra Pradesh,SRIKAKULAM,Moong(Green Gram),2010,Kharif,1593.0,397.0,andhra pradesh,srikakulam,0.24921531701192717
Andhra Pradesh,SRIKAKULAM,Onion,2010,Kharif,27.0,536.0,andhra pradesh,srikakulam,19.85185185185185
Andhra Pradesh,SRIKAKULAM,Ragi,2010,Kharif,804.0,732.0,andhra pradesh,srikakulam,0.9104477611940298
Andhra Pradesh,SRIKAKULAM,Rice,2010,Kharif,205853.0,167482.0,andhra pradesh,srikakulam,0.8135999961137317
